"770567971701940224","@LonelySoad mientras que no te pillen la primera semana que es cuando tienes la nariz como un payaso ","N"
"770503386789711872","@ceemeese ya era hora de volver al csgo y dejares el padel bienvenida ","P"
"770599962216390656","@Vic_Phantomhive Si lo encuentro, sin compañeros y barato, me iría hasta ahora mismo ","P"
"770453393714348032","Eso de echar de menos tu propia casa son leyendas urbanas ","P"
"770612909105905665","Echo de menos las sudaderas y los pantalones largos ","N"
"770633713822601216","@Defconplay de hecho lo confirmo, los caminos y las casitas son las mismas ","NONE"
"770496679632076800","@enekoolabuenaga seguramente no podré estar online hasta mañana ","N"
"770510704080281600","Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!! ","P"
"770080539130916864","Acaso se nota que extraño muchísimo a Irene y a LucíaAAAAA. Es una broma esto ","N"
"770789027142328326","Vas tranquilo por la calle y por la cara te encuentras a una persona que no tienes ganas de ver ","N"
"770941295883853824","Muchas gracias por este fantástico post  @conelmorrofino","P"
"770940052557950976","@Roberto_R_R De verdad, la involución humana es un hecho ya... ¡Qué pena!  @elcorreogallego","N"
"770948285288841216","@nightmareoscura malditos conductores a los que dan el carnet en la tómbola ","N"
"770946843383631873","@MattiaSola1 @kalashkokirikov tío, que no, que yo soy el dalas pero cutre, déjame ","N"
"770914042567327746","La escena spoby es tan bonita y tan triste y no paro de llorar damn ","NEU"
"770963910707019776","""Es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad..."" #MN ","N"
"770963684705308672","@LaLiLoLaiLoLeo !Croquetas!  A mí me gustan pelín más hechas.","N"
"770938978916761600","@Compotita @ttarlop no me he enfadado  solo he puesto voz de abuelo cebolleta ","P"
"770938227570139136","@eloycanovas gracias, Eloy!! intentando aproximar mis perlas a las tuyas ","P"
"770799001071476736","Increíble el directo de hoy me lo he pasado  de puta madre muchísimas gracias a todos ","P"
"770814690490548224","Quita rubiete el stream y me hago un 2vs1 impresionante ","NEU"
"770952598954373120","@rubenlinoman como todo! Es un jugón! No quiero que lo fichéis. Es el peor día de mi vida ","N"
"770851876896202752","Al igual solo es estres, perdón  @rachelstormborn","NONE"
"770904895104884736","@YsabelGranger @gvila1 Nosotras haremos lo q sea menester para motivados  ","P"
"770880018398515200","Qué deprimente, mañana ya sepriembre. QUE SE ACABAN LAS VACACIONES!! ","N"
"770891179596582913","@merymrtn_ sin animo de ofender a las focas, que son lo mas mejor de este mundo ","P"
"769813375924789248","Lo bueno es que ya puedo echar un vistazo al libro de arte sin spoilearme ","P"
"769850987133693952","@imdariusb1tches nooo, quiero que me vaya pordede ","N"
"769865680967598080","Iba a sacar a la perra y se me ha quedado la rodilla pillada ","N"
"769880535325937664","@HCeretto la vemos juntas y lloramos juntas ","NEU"
"769706280244154368","@LaiZorsGaming nooo  haced todo lo posible para hacerlo otra vez plz","N"
"769580781194899456","Otra cosa no me quedará clara hoy,  pero con el Tiranosaurio Rex,  si tú no te mueves no te puede ver  @DinopolisTeruel","NONE"
"769605663756578820","@Garcia_Daniel13 Muy agradable, tiene la lengua fuera... ¿quieres una foto..? ","N"
"769963110539165696","@CyPunto_ soy unranked , pero porque paso de hacerlas xd y mi novio se reia de mi ayer ","N"
